,format
6062,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2254.JPG.jpg,532,7,1399,1022,Tomato-leaf-late-blight"
6063,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2254.JPG.jpg,11,20,753,1046,Tomato-leaf-late-blight"
6064,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,255,184,592,355,Apple-Scab-Leaf"
6065,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,257,96,353,255,Apple-Scab-Leaf"
6066,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,520,455,672,560,Apple-Scab-Leaf"
6067,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,532,341,686,441,Apple-Scab-Leaf"
6068,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,309,352,459,600,Apple-Scab-Leaf"
6069,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-01.jpg,57,186,233,294,Apple-Scab-Leaf"
6070,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2f73110f80014a25a53f9551c94bf164.png.jpg,58,92,525,386,Corn-Gray-leaf-spot"
6071,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,76,383,200,499,Raspberry-leaf"
6072,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,58,276,187,402,Raspberry-leaf"
6073,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,1,360,85,493,Raspberry-leaf"
6074,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,191,2,248,120,Raspberry-leaf"
6075,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,1,1,95,97,Raspberry-leaf"
6076,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,103,591,236,705,Raspberry-leaf"
6077,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry-1024x707.jpg,278,392,414,475,Raspberry-leaf"
6078,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Early_Blight_of_Tomato177.jpg,4,2,799,583,Potato-leaf-early-blight"
6079,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/27013702151_95bd415ba9_o.jpg,176,92,646,369,Potato-leaf-early-blight"
6080,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/27013702151_95bd415ba9_o.jpg,188,374,724,500,Potato-leaf-early-blight"
6081,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DCDl_p8UQAAf2hP.jpg,33,68,1115,1136,grape-leaf-black-rot"
6082,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Black_rot_on_grape_leaves5.jpg,96,352,1525,1827,grape-leaf-black-rot"
6083,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Black_rot_on_grape_leaves5.jpg,1554,194,3012,1740,grape-leaf-black-rot"
6084,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6078710516023296.jpeg.jpg,86,107,600,678,Tomato-Septoria-leaf-spot"
6085,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Corn-gray-leaf-spot-8-21.jpg,27,55,1000,418,Corn-leaf-blight"
6086,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,405,258,514,456,Raspberry-leaf"
6087,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,54,11,218,169,Raspberry-leaf"
6088,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,806,443,1011,567,Raspberry-leaf"
6089,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,600,456,782,650,Raspberry-leaf"
6090,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,911,109,1021,251,Raspberry-leaf"
6091,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,712,105,805,200,Raspberry-leaf"
6092,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,515,141,699,222,Raspberry-leaf"
6093,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,842,90,962,130,Raspberry-leaf"
6094,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Blackberry-black-raspberry3-1024x665.jpg,751,351,927,450,Raspberry-leaf"
6095,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Corn-northern%20corn%20leaf%20blight-8-21.jpg,1,119,1491,492,Corn-leaf-blight"
6096,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,1,81,158,266,Blueberry-leaf"
6097,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,230,91,296,247,Blueberry-leaf"
6098,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,4,219,148,315,Blueberry-leaf"
6099,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,273,365,375,426,Blueberry-leaf"
6100,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,127,7,212,148,Blueberry-leaf"
6101,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,39,1,156,139,Blueberry-leaf"
6102,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,52,426,136,500,Blueberry-leaf"
6103,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/4715f288527ab7feae1683179ae3073b--red-leaves-autumn-leaves.jpg,183,400,254,491,Blueberry-leaf"
6104,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5516100468998144-600x272.jpeg.jpg,348,9,539,231,Tomato-Septoria-leaf-spot"
6105,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5516100468998144-600x272.jpeg.jpg,169,8,314,242,Tomato-Septoria-leaf-spot"
6106,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,668,7,942,404,Strawberry-leaf"
6107,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,817,296,1177,535,Strawberry-leaf"
6108,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,514,406,800,569,Strawberry-leaf"
6109,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,237,298,554,641,Strawberry-leaf"
6110,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,377,598,668,899,Strawberry-leaf"
6111,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5392.JPG.jpg,65,628,388,878,Strawberry-leaf"
6112,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,259,246,303,365,Blueberry-leaf"
6113,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,153,244,258,302,Blueberry-leaf"
6114,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,322,264,437,354,Blueberry-leaf"
6115,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,409,312,479,453,Blueberry-leaf"
6116,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,199,392,291,496,Blueberry-leaf"
6117,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,123,383,191,436,Blueberry-leaf"
6118,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,107,68,204,145,Blueberry-leaf"
6119,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,334,93,427,140,Blueberry-leaf"
6120,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BLUEBERRY-SPARTAN-LEAF-500x500.jpg,144,176,267,226,Blueberry-leaf"
6121,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/HighTunnel_TLM5.jpg,258,29,1090,910,Tomato-mold-leaf"
6122,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bean-rust-on-leaves.jpg,103,2,243,90,Tomato-Septoria-leaf-spot"
6123,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bean-rust-on-leaves.jpg,18,59,113,157,Tomato-Septoria-leaf-spot"
6124,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bean-rust-on-leaves.jpg,97,71,215,194,Tomato-Septoria-leaf-spot"
6125,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_0004.JPG?itok=tv_vWPMi.jpg,1,2,565,390,Corn-Gray-leaf-spot"
6126,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,287,49,388,222,Soyabean-leaf"
6127,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,53,170,293,251,Soyabean-leaf"
6128,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,387,112,574,224,Soyabean-leaf"
6129,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,545,1,640,191,Soyabean-leaf"
6130,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,569,249,640,391,Soyabean-leaf"
6131,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/5834652565_6b00a70309_z.jpg,220,211,347,357,Soyabean-leaf"
6132,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/23600077_1572609202782510_2145699867_o.jpg,868,585,1385,1077,Tomato-mold-leaf"
6133,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/23600077_1572609202782510_2145699867_o.jpg,305,1111,1240,1909,Tomato-mold-leaf"
6134,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/23600077_1572609202782510_2145699867_o.jpg,1,482,890,999,Tomato-mold-leaf"
6135,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Henrycorn1.jpg,1,9,596,374,Corn-leaf-blight"
6136,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/EBTomato.jpg,12,6,292,450,Tomato-Early-blight-leaf"
6137,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,172,141,209,188,Tomato-mold-leaf"
6138,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,149,59,212,99,Tomato-mold-leaf"
6139,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,15,38,88,76,Tomato-mold-leaf"
6140,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,91,3,131,60,Tomato-mold-leaf"
6141,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,114,68,171,125,Tomato-mold-leaf"
6142,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/BlackLeafMold2.jpg,54,110,139,174,Tomato-mold-leaf"
6143,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_1153.JPG.jpg,12,379,1599,878,Corn-leaf-blight"
6144,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5488.JPG.jpg,8,3,1383,1064,Squash-Powdery-mildew-leaf"
6145,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_5390.jpg,3,1,500,397,Potato-leaf-late-blight"
6146,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/45035_1.jpg,515,202,763,510,Potato-leaf-early-blight"
6147,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2OBH_29_Gardening_early_blight.jpg,44,1,297,192,Potato-leaf-early-blight"
6148,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2477703364_0c94646b48.jpg,19,23,340,328,Bell_pepper-leaf"
6149,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,1,1081,772,1858,Apple-Scab-Leaf"
6150,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,1739,903,2801,2078,Apple-Scab-Leaf"
6151,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,1868,2541,3024,4024,Apple-Scab-Leaf"
6152,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,193,2628,1151,3449,Apple-Scab-Leaf"
6153,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,1876,137,2355,678,Apple-Scab-Leaf"
6154,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CORN-DISEASE.jpg,181,179,640,418,Corn-leaf-blight"
6155,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,392,358,533,708,Apple-leaf"
6156,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,371,768,545,1025,Apple-leaf"
6157,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,68,660,361,989,Apple-leaf"
6158,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,26,272,362,608,Apple-leaf"
6159,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,72,191,360,341,Apple-leaf"
6160,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,1,2,177,284,Apple-leaf"
6161,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,499,13,800,236,Apple-leaf"
6162,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,345,1,522,286,Apple-leaf"
6163,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,568,565,800,927,Apple-leaf"
6164,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleLeavesInRain.jpg,451,306,720,666,Apple-leaf"
6165,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,107,9,461,544,Apple-leaf"
6166,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,382,599,802,1031,Apple-leaf"
6167,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,611,916,821,1309,Apple-leaf"
6168,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,839,829,1044,1208,Apple-leaf"
6169,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,231,859,664,1284,Apple-leaf"
6170,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/June%2B2010%2B022.JPG.jpg,591,26,882,559,Apple-leaf"
6171,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSCN2697.jpg,234,147,963,611,Tomato-mold-leaf"
6172,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,217,331,349,396,Tomato-leaf"
6173,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,171,393,278,549,Tomato-leaf"
6174,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,162,225,240,319,Tomato-leaf"
6175,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,256,501,377,601,Tomato-leaf"
6176,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,77,492,203,586,Tomato-leaf"
6177,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,84,379,201,534,Tomato-leaf"
6178,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,353,130,521,221,Tomato-leaf"
6179,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,387,246,531,373,Tomato-leaf"
6180,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,211,40,298,145,Tomato-leaf"
6181,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,35,225,142,319,Tomato-leaf"
6182,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,244,612,406,700,Tomato-leaf"
6183,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,345,386,440,460,Tomato-leaf"
6184,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,74,73,127,168,Tomato-leaf"
6185,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/CTG514794.jpg,21,137,86,216,Tomato-leaf"
6186,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bacterial-spot-on-tomato-leaves.jpg,4,63,59,123,Tomato-leaf-bacterial-spot"
6187,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bacterial-spot-on-tomato-leaves.jpg,69,134,145,237,Tomato-leaf-bacterial-spot"
6188,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bacterial-spot-on-tomato-leaves.jpg,137,98,257,215,Tomato-leaf-bacterial-spot"
6189,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bacterial-spot-on-tomato-leaves.jpg,76,17,157,131,Tomato-leaf-bacterial-spot"
6190,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/AppleScab.JPG.jpg,23,62,336,441,Apple-Scab-Leaf"
6191,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSC04477.JPG.jpg,939,303,1549,682,Bell_pepper-leaf"
6192,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSC04477.JPG.jpg,750,5,1023,361,Bell_pepper-leaf"
6193,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSC04477.JPG.jpg,392,108,711,416,Bell_pepper-leaf"
6194,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSC04477.JPG.jpg,345,495,736,703,Bell_pepper-leaf"
6195,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/DSC04477.JPG.jpg,748,752,984,1067,Bell_pepper-leaf"
6196,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Bacterial-speck-tomato-leaves.jpg,10,6,215,322,Tomato-leaf-bacterial-spot"
6197,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/7-17-Powdery-mildew-on-zucchini-LINA.jpg,1,1,499,286,Squash-Powdery-mildew-leaf"
6198,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,2019,2397,2836,3363,Strawberry-leaf"
6199,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,3336,1611,4191,2529,Strawberry-leaf"
6200,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,3696,1203,4465,1774,Strawberry-leaf"
6201,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,4137,1756,5094,2570,Strawberry-leaf"
6202,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,2223,1966,3213,2518,Strawberry-leaf"
6203,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,1475,1999,2313,2856,Strawberry-leaf"
6204,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,609,2132,1361,2875,Strawberry-leaf"
6205,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,313,1428,1218,2099,Strawberry-leaf"
6206,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,2432,1077,3297,1890,Strawberry-leaf"
6207,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,2500,484,3248,1223,Strawberry-leaf"
6208,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,1823,545,2581,1365,Strawberry-leaf"
6209,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,887,861,1623,1555,Strawberry-leaf"
6210,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,1339,374,1910,974,Strawberry-leaf"
6211,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_2780.jpg,147,1894,899,2609,Strawberry-leaf"
6212,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-02.jpg,290,50,493,563,Apple-Scab-Leaf"
6213,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-02.jpg,165,401,373,556,Apple-Scab-Leaf"
6214,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-image-02.jpg,516,158,800,371,Apple-Scab-Leaf"
6215,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2976_1600.jpg,482,155,778,500,Potato-leaf-late-blight"
6216,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2976_1600.jpg,672,515,1058,758,Potato-leaf-late-blight"
6217,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2976_1600.jpg,150,535,454,934,Potato-leaf-late-blight"
6218,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2976_1600.jpg,240,49,467,405,Potato-leaf-late-blight"
6219,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_0863_1500x1500%253E.jpg,182,143,888,1097,Tomato-Septoria-leaf-spot"
6220,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/IMG_0863_1500x1500%253E.jpg,705,10,1269,1038,Tomato-Septoria-leaf-spot"
6221,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/B2650062-Potato_late_blight-SPL.jpg,55,161,369,431,Potato-leaf-late-blight"
6222,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/B2650062-Potato_late_blight-SPL.jpg,408,189,735,462,Potato-leaf-late-blight"
6223,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/B2650062-Potato_late_blight-SPL.jpg,89,376,296,606,Potato-leaf-late-blight"
6224,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/B2650062-Potato_late_blight-SPL.jpg,421,573,759,800,Potato-leaf-late-blight"
6225,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/2febe52cfac784c3191c804390d51ab756a3a7c8b9314_1260x1260.jpg,299,77,773,1190,Cherry-leaf"
6226,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Fig1_Northern_corn_leaf_blight.JPG.jpg,62,1,285,185,Corn-leaf-blight"
6227,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Apple-Scab-Mulrooney.jpg,132,93,489,832,Apple-Scab-Leaf"
6228,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Fragaria-virginiana-6.jpg,330,310,463,448,Strawberry-leaf"
6229,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Fragaria-virginiana-6.jpg,268,223,419,332,Strawberry-leaf"
